,CombinedP,AvgAdjP,AvgLogFC,Total_FC_padj,Total_FC_log2FC,Gage_FC_padj,Gage_FC_log2FC
ZNF675,2.2264E-05,3.3365E-03,0.9565,1.9591E-04,0.5099,6.4771E-03,1.4032
NPTX2,2.3426E-05,3.4224E-03,1.6202,4.3167E-05,1.4607,6.8016E-03,1.7797
ARPC5,2.3678E-05,3.4408E-03,0.8537,3.2427E-07,0.7933,6.8812E-03,0.9140
DIAPH2,2.6020E-05,3.6070E-03,0.7788,1.7949E-07,0.5325,7.2137E-03,1.0252
AKIRIN2,2.6411E-05,3.6339E-03,0.8605,2.1200E-07,0.6312,7.2676E-03,1.0897
RP11-438B23.2,2.6875E-05,3.6657E-03,1.5343,2.9535E-03,1.0697,4.3780E-03,1.9988
FFAR4,2.7095E-05,3.6807E-03,1.2511,2.7615E-03,0.7504,4.5999E-03,1.7518
EXOC6,2.7319E-05,3.6959E-03,1.0471,4.8610E-06,0.6955,7.3868E-03,1.3987
XYLT1,2.7627E-05,3.7166E-03,1.1123,2.1900E-06,0.7233,7.4311E-03,1.5013
CYLD,2.7876E-05,3.7334E-03,0.6884,3.7067E-03,0.4470,3.7601E-03,0.9299
LRRC8B,2.8142E-05,3.7511E-03,0.9713,7.4090E-03,0.6704,9.3303E-05,1.2722
LDLRAD4,2.8278E-05,3.7602E-03,0.9250,7.4634E-06,0.7949,7.5129E-03,1.0551
DUSP7,2.8841E-05,3.7974E-03,0.7603,5.2855E-03,0.3348,2.3093E-03,1.1858
GPR160,2.9243E-05,3.8238E-03,1.5931,7.2137E-03,0.5623,4.3395E-04,2.6240
HSPB8,2.9400E-05,3.8340E-03,-1.0122,3.0383E-03,-0.3694,4.6298E-03,-1.6550
FBXO11,2.9588E-05,3.8463E-03,1.0946,2.0204E-03,0.3824,5.6722E-03,1.8068
PCDHGC5,2.9899E-05,3.8664E-03,2.6726,7.7328E-03,0.7935,1.2324E-07,4.5516
GPR156,3.0775E-05,3.9227E-03,1.7189,4.1083E-04,0.8927,7.4346E-03,2.5451
TC2N,3.1400E-05,3.9623E-03,1.4102,7.8048E-03,0.8150,1.1983E-04,2.0053
POM121,3.3475E-05,4.0911E-03,0.9324,6.5194E-03,0.3726,1.6629E-03,1.4921
TRPC3,3.4253E-05,4.1384E-03,1.2092,6.0034E-05,0.9078,8.2168E-03,1.5106
PVRL1,3.4569E-05,4.1575E-03,0.8576,8.7044E-04,0.7649,7.4445E-03,0.9504
SORBS2,3.4883E-05,4.1763E-03,0.8989,1.2790E-03,0.5360,7.0736E-03,1.2617
TPRN,3.5701E-05,4.2250E-03,-1.1551,4.5237E-03,-0.7426,3.9263E-03,-1.5676
MACROD1,3.6947E-05,4.2981E-03,-1.3069,3.0291E-03,-0.7094,5.5671E-03,-1.9043
GNB4,3.7264E-05,4.3165E-03,1.6360,7.6335E-10,0.9329,8.6330E-03,2.3392
P2RX6,3.9189E-05,4.4266E-03,-1.4023,3.4896E-03,-0.6526,5.3635E-03,-2.1521
RECQL5,3.9851E-05,4.4638E-03,-0.7387,2.4050E-03,-0.4661,6.5226E-03,-1.0113
MEG9,4.0224E-05,4.4847E-03,-1.2748,4.2756E-04,-0.9684,8.5418E-03,-1.5813
PROM1,4.0314E-05,4.4896E-03,1.4757,1.1221E-05,1.1127,8.9681E-03,1.8388
ZNRF1,4.0788E-05,4.5160E-03,0.8410,5.5217E-05,0.5678,8.9767E-03,1.1142
MAL2,4.1286E-05,4.5435E-03,1.3268,1.1021E-04,1.2251,8.9767E-03,1.4285
CDK17,4.2306E-05,4.5993E-03,1.0963,1.9685E-03,0.5911,7.2300E-03,1.6015
HOMER2,4.5607E-05,4.7753E-03,0.9280,5.1949E-07,0.5475,9.5501E-03,1.3085
SGSH,4.6579E-05,4.8259E-03,-1.0426,1.0170E-04,-0.9951,9.5501E-03,-1.0901
SPIN1,4.7693E-05,4.8833E-03,0.9834,5.1596E-03,0.5007,4.6071E-03,1.4660
SLC26A4-AS1,4.8886E-05,4.9440E-03,1.2239,9.0908E-03,0.7774,7.9721E-04,1.6705
GLCE,4.9312E-05,4.9655E-03,1.1200,3.3045E-04,0.6953,9.6005E-03,1.5447
HCG18,4.9741E-05,4.9870E-03,0.8397,9.9024E-03,0.5248,7.1648E-05,1.1546
RARB,4.9767E-05,4.9883E-03,1.0024,6.9148E-03,0.6548,3.0619E-03,1.3500
ARHGEF7,5.0046E-05,5.0023E-03,0.8326,4.4681E-03,0.4386,5.5365E-03,1.2266
HUNK,5.0923E-05,5.0459E-03,1.2001,9.8512E-03,0.4358,2.4068E-04,1.9644
GNA14,5.2143E-05,5.1060E-03,-1.2534,6.5334E-03,-0.6266,3.6786E-03,-1.8801
TNFRSF25,5.2158E-05,5.1068E-03,-1.0820,4.5455E-03,-0.9358,5.6681E-03,-1.2282
ARHGAP32,5.3650E-05,5.1793E-03,0.8732,6.3342E-03,0.4805,4.0243E-03,1.2660
RP11-384O8.1,5.3965E-05,5.1945E-03,1.2905,6.7856E-04,1.1224,9.7104E-03,1.4585
SOCS7,5.4922E-05,5.2403E-03,1.8900,3.7807E-07,0.6871,1.0480E-02,3.0930
RNF145,5.6918E-05,5.3347E-03,0.8128,6.0695E-03,0.5618,4.5999E-03,1.0638
DLG2,5.7288E-05,5.3520E-03,0.9056,9.5175E-03,0.3405,1.1865E-03,1.4706
COMMD2,5.7925E-05,5.3817E-03,0.7478,2.0341E-03,0.4762,8.7293E-03,1.0193
FLYWCH1,5.8717E-05,5.4183E-03,-0.8297,5.2392E-03,-0.6365,5.5975E-03,-1.0229
CLOCK,6.0255E-05,5.4889E-03,0.8619,1.0590E-02,0.4212,3.8776E-04,1.3026
FAM188B,6.1085E-05,5.5265E-03,-1.4447,5.2790E-03,-0.6446,5.7741E-03,-2.2449
DNALI1,6.1767E-05,5.5573E-03,-0.8745,2.1243E-03,-0.5597,8.9903E-03,-1.1894
S100A6,6.3022E-05,5.6135E-03,-1.1268,9.1455E-03,-0.3052,2.0814E-03,-1.9484
TGIF1,6.3698E-05,5.6435E-03,-1.2405,1.4482E-03,-0.7631,9.8388E-03,-1.7178
OSBPL8,6.7211E-05,5.7970E-03,0.8440,5.3531E-04,0.6031,1.1059E-02,1.0850
CYTH3,6.8380E-05,5.8472E-03,0.7018,2.8565E-04,0.3998,1.1409E-02,1.0038
TXNDC16,6.8814E-05,5.8657E-03,0.8970,4.7016E-03,0.3354,7.0299E-03,1.4586
SLC39A6,6.9639E-05,5.9008E-03,0.6788,1.3905E-03,0.3748,1.0411E-02,0.9829
FAM184B,7.1658E-05,5.9857E-03,1.7823,1.1743E-02,0.4227,2.2810E-04,3.1418
