,CombinedP,AvgAdjP,AvgLogFC,Total_FC_padj,Total_FC_log2FC,Gage_FC_padj,Gage_FC_log2FC,Total_SN_padj,Total_SN_log2FC
CELSR1,6.1928E-06,1.1123E-02,1.7623,2.1730E-09,1.5387,3.3343E-02,1.9833,2.6659E-05,1.7650
NYAP2,6.2199E-06,1.1139E-02,3.2233,2.9305E-05,0.5828,6.2587E-07,7.7229,3.3388E-02,1.3641
AC073343.1,6.2724E-06,1.1171E-02,1.4321,1.6120E-11,1.1174,3.5643E-04,2.3889,3.3155E-02,0.7901
CHP1,6.2879E-06,1.1180E-02,0.7740,4.3625E-07,0.7554,1.7807E-02,1.1114,1.5731E-02,0.4552
CASC15,6.4047E-06,1.1249E-02,1.0851,3.0413E-10,0.8641,1.6842E-04,1.9709,3.3577E-02,0.4204
CATSPER2,6.4977E-06,1.1303E-02,-0.8870,7.1737E-06,-0.9439,2.9037E-02,-1.1090,4.8644E-03,-0.6081
DCLK1,6.6399E-06,1.1385E-02,1.0762,1.1948E-02,0.8019,9.6408E-03,1.8000,1.2564E-02,0.6266
STYK1,6.8800E-06,1.1520E-02,1.5993,1.5601E-02,0.7988,8.2771E-04,2.6007,1.8131E-02,1.3984
CCT5,7.0898E-06,1.1636E-02,0.6892,1.3516E-03,0.5888,6.0570E-03,1.0077,2.7500E-02,0.4711
BZW1,7.0966E-06,1.1640E-02,0.6580,4.7847E-07,0.7577,2.8788E-02,0.7729,6.1308E-03,0.4433
AFAP1L2,7.1618E-06,1.1675E-02,0.7211,6.1473E-04,0.5123,8.6214E-03,1.2149,2.5790E-02,0.4360
RP11-339B21.11,7.2524E-06,1.1724E-02,-1.0635,4.4178E-03,-0.8257,2.3464E-03,-1.7798,2.8409E-02,-0.5851
SLC38A6,7.8053E-06,1.2015E-02,-0.6604,2.8329E-04,-0.4116,4.3189E-03,-1.2540,3.1443E-02,-0.3155
TBC1D9,7.9355E-06,1.2081E-02,1.2035,5.8434E-04,0.7954,1.4500E-05,1.8650,3.5646E-02,0.9502
CTD-2044J15.2,7.9504E-06,1.2089E-02,1.0791,1.7493E-04,0.7179,1.4337E-04,1.8105,3.5949E-02,0.7090
FYTTD1,8.3879E-06,1.2307E-02,0.5634,3.0037E-05,0.5401,1.3022E-02,0.8482,2.3869E-02,0.3017
DLAT,9.0182E-06,1.2608E-02,0.6766,2.9878E-05,0.6146,8.5022E-03,0.8473,2.9291E-02,0.5678
METTL9,9.0886E-06,1.2640E-02,0.7059,1.7772E-12,0.9921,3.4661E-02,0.7685,3.2600E-03,0.3572
TMCC1,9.1601E-06,1.2674E-02,0.3900,2.0307E-03,0.2047,1.3308E-02,0.8042,2.2682E-02,0.1610
CTB-176F20.3,9.6240E-06,1.2884E-02,-1.1943,3.9377E-07,-1.0009,3.7487E-02,-1.8680,1.1639E-03,-0.7142
TTC21A,9.6713E-06,1.2905E-02,-0.9853,6.5505E-07,-1.1016,2.5973E-02,-1.3193,1.2742E-02,-0.5350
LIMK2,1.0056E-05,1.3074E-02,-0.9786,4.2133E-09,-1.2592,1.4096E-02,-1.2374,2.5126E-02,-0.4392
TMEM169,1.0272E-05,1.3167E-02,1.0573,1.9741E-04,0.9773,1.8696E-02,1.6142,2.0607E-02,0.5805
