,Combined p-vlaue,AvgAdjP,AvgLogFC,Total_pF_padj,Total_pF_log2FC,PolyA_pF_padj,PolyA_pF_log2FC,Gage_pF_padj,Gage_pF_log2FC,Total_FC_padj,Total_FC_log2FC,Gage_FC_padj,Gage_FC_log2FC,Total_SN_padj,Total_SN_log2FC
TENC1,0.002204956,0.180013142,-0.660401145,0.085167942,-0.357786565,0.322491534,-0.376869122,0.524309149,-0.563231722,0.054956093,-0.639982621,0.018326912,-1.454636766,0.074827224,-0.569900074
ZNF518B,0.002326178,0.181626049,0.566101248,0.075916711,0.577195486,0.285723219,0.505140974,0.700121801,0.242600611,9.83378333617424e-08,0.52484593,0.010496008,1.087936251,0.017498455,0.458888239
FAM216A,0.002374316,0.182247148,0.499493088,0.139140639,0.335752384,0.152834392,0.67764396,0.090740722,0.881466871,0.107614182,0.271178109,0.244990766,0.598084521,0.358162189,0.232832683
PPIL1,0.002638625,0.185481631,0.480474907,0.161132342,0.228399114,0.547362496,0.370623947,0.174786465,0.835560228,0.000123084,0.49986505,0.195939419,0.479636242,0.033545981,0.46876486
TNFAIP8L1,0.002792373,0.187240805,0.802764799,0.310645168,0.393758771,0.00154929,1.469001059,0.518749948,0.658517997,0.001063395,0.716582851,0.050798286,1.226210688,0.24063874,0.35251743
SOX6,0.002867462,0.188070811,1.660516538,0.133006296,1.216065241,0.271522992,2.895520249,0.004332668,4.547954201,0.067943001,0.346121247,0.651618779,0.295494051,1.12906799529421e-06,0.66194424
ECT2,0.003163089,0.19117217,0.751694464,0.013047974,0.666001783,7.10726116714822e-08,1.597830468,0.844145134,0.184104874,2.52965339096867e-05,0.642766124,0.020656519,1.132504393,0.269158024,0.28695914
GLRX3,0.003280884,0.192340959,0.400973333,0.221923563,0.204555336,0.490624057,0.340736427,0.166964246,0.759638235,0.005070179,0.305907124,0.225200783,0.454411807,0.044262924,0.340591067
NEK9,0.003472015,0.194165146,-0.487207352,0.493529689,-0.146254207,0.157745566,-0.399737302,0.082365759,-0.941604135,0.003876621,-0.560954226,0.354635361,-0.630297398,0.072837879,-0.244396844
UBE2N,0.00384703,0.197514079,0.472255303,0.056120111,0.234939707,0.473523979,0.308401704,0.529475036,0.412749207,0.01068513,0.510585886,0.015253251,0.922149203,0.100026967,0.444706112
ROM1,0.004010099,0.198886145,-0.919406681,0.034720303,-0.512848981,0.599964201,-0.44568186,0.528412797,-0.413019638,0.009042549,-0.860013518,3.52129145320044e-06,-2.652180769,0.021173496,-0.632695317
H2AFZ,0.004170688,0.200192757,0.663664941,0.097158884,0.570653875,0.000366773,1.59535259,0.196011186,0.870777529,0.066288646,0.382444916,0.565437512,0.328136002,0.275893539,0.234624737
STAT2,0.004181772,0.200281389,-0.493794955,0.09513534,-0.353377472,0.001460517,-0.767769977,0.280504034,-0.646124659,0.01013353,-0.377650114,0.775420649,-0.172095418,0.039034263,-0.645752092
CSF1,0.00419818,0.200412239,-0.786220549,0.198985557,-0.398102732,0.441952446,-0.57508489,0.231228112,-1.379490444,0.006816702,-0.871899236,0.083283057,-1.168859145,0.240207563,-0.323886847
TMBIM1,0.004434663,0.202252465,-0.578348792,0.189383092,-0.251808443,0.354074528,-0.39392841,0.423366956,-0.36562731,0.029522465,-0.637338281,0.11460787,-1.495044124,0.102559881,-0.326346186
FOXO1,0.004657718,0.203914998,-0.802528887,0.323517158,-0.727974092,0.008935338,-1.689377592,0.019485273,-0.961162369,0.356031588,-0.272348813,0.219470548,-0.967697914,0.296050086,-0.196612544
ZWINT,0.004700743,0.204228055,0.86386278,0.109499062,0.695183168,7.22778018110789e-06,2.186754891,0.582427442,0.364417657,0.024494654,0.634813377,0.175429723,0.867632053,0.333510225,0.434375534
ISOC1,0.00507508,0.206855947,0.49630658,0.217485602,0.292763892,0.438751963,0.460737869,0.41881231,0.567233682,0.011359705,0.310609782,0.07987501,0.894162866,0.074851092,0.452331387
ENC1,0.005909782,0.212181935,0.896405127,0.150278824,0.242018657,0.282601802,0.678276525,0.415895516,0.843384445,0.000226702,1.197324035,0.000598994,1.989854933,0.423489772,0.42757217
HMGB3,0.006134458,0.213508568,0.654835178,0.094606233,0.517037069,0.00069112,1.550082546,0.388081378,0.500856541,0.000741812,0.550666658,0.476698015,0.454625208,0.320232847,0.355743049
MR1,0.006361423,0.214808567,-0.556397416,0.119812885,-0.428463384,0.043339296,-0.841668748,0.503973032,-0.563851655,0.061958962,-0.429271565,0.456116765,-0.637677356,0.103650464,-0.437451785
GAS2L3,0.00660781,0.216177156,1.056316083,0.024561253,0.68959891,2.58887528344268e-10,2.366482116,0.903922391,0.156347843,2.41387970185608e-07,1.241009824,0.127790454,1.391455922,0.240788597,0.493001885
AC005789.11,0.006823677,0.217342032,0.865308059,0.189805667,0.456454344,0.889301923,0.250369517,0.021895463,1.921102273,0.006398019,0.82721525,0.118257975,0.971715598,0.078393147,0.764991369
OLA1,0.007089326,0.218734546,0.457718822,0.048178393,0.292398072,0.329512176,0.40483791,0.429734177,0.58322485,0.022876475,0.507474652,0.191472835,0.724330556,0.290633222,0.234046891
CKAP2,0.008425018,0.22514698,0.743554601,0.090972266,0.58397347,3.79318118854005e-08,2.227848925,0.828670669,0.2047566,0.168078163,0.214939254,0.125645398,0.83507317,0.137515347,0.39473619
